County,Population,Firearm Homicide,Total Homicide,Firearm Suicides,Total Suicides,Poverty %,Poverty % (U18),MedHHInc,PopDen
"Alexandria city, VA",1678068.0,26.0,46.0,55.0,156.0,9.9,15.1,"100,877",4046.493213
"Allegan County, MI",1262014.0,12.0,18.0,99.0,186.0,9.4,12.1,"73,873",53.92102964
"Allegany County, MD",797985.0,10.0,25.0,66.0,120.0,16.4,22.4,"49,236",65.82512308
"Allegany County, NY",521467.0,,11.0,51.0,79.0,14.6,20.3,"55,320",17.63858838
"Allegheny County, PA",13467261.0,919.0,1078.0,828.0,1840.0,11.3,13.9,"68,874",648.1038604
"Allen County, IN",4051568.0,284.0,361.0,240.0,503.0,13.1,17.2,"62,680",217.3430355
"Allen County, KY",226945.0,10.0,16.0,25.0,45.0,17.1,24.6,"51,485",23.31589108
"Allen County, OH",1146263.0,51.0,71.0,73.0,153.0,15.3,20.1,"52,518",99.41870485
"Allen Parish, LA",281970.0,,13.0,37.0,57.0,20.5,26.9,"43,192",13.00552965
"Allendale County, SC",103524.0,20.0,27.0,,,35.4,47.2,"31,262",8.717537594
"Amador County, CA",418568.0,,24.0,71.0,128.0,11.1,13.5,"68,159",24.56534526
"Amelia County, VA",141862.0,,12.0,27.0,33.0,9.9,13.8,"62,884",13.96955997
"Amherst County, VA",351202.0,,10.0,38.0,53.0,12.4,17.4,"57,294",25.97196021
"Amite County, MS",138987.0,10.0,17.0,,12.0,22.0,30.4,"41,927",6.593508175
"Anchorage Borough, AK",3245842.0,178.0,260.0,414.0,689.0,9.5,11.3,"86,152",67.00029188
"Anderson County, SC",2145833.0,156.0,197.0,286.0,420.0,15.9,21.7,"58,951",106.0081343
"Anderson County, TN",835808.0,24.0,30.0,96.0,161.0,14.3,18.7,"58,633",86.76335586
"Anderson County, TX",637173.0,20.0,39.0,60.0,165.0,20.4,24.5,"54,515",21.02428029
"Androscoggin County, ME",1184459.0,12.0,23.0,97.0,207.0,14.0,19.1,"61,411",88.65336766
"Angelina County, TX",961682.0,37.0,56.0,94.0,146.0,18.4,26.4,"50,620",42.39912091
"Anne Arundel County, MD",6192241.0,147.0,230.0,306.0,765.0,6.2,7.9,"107,281",528.4397218
"Anoka County, MN",3793932.0,43.0,62.0,228.0,525.0,6.8,8.6,"88,416",317.8925949
"Anson County, NC",281452.0,38.0,48.0,22.0,37.0,21.2,30.5,"40,773",18.38460003
"Apache County, AZ",792648.0,39.0,113.0,86.0,273.0,28.4,34.7,"41,002",2.466163547
"Appling County, GA",202625.0,,10.0,18.0,27.0,18.2,27.6,"46,530",14.01828756
"Appomattox County, VA",170041.0,14.0,16.0,20.0,30.0,11.5,16.1,"58,860",17.99514229
"Aransas County, TX",267437.0,,14.0,63.0,81.0,15.1,27.8,"55,435",37.93324765
"Arapahoe County, CO",6854861.0,203.0,318.0,555.0,1189.0,8.7,11.5,"84,308",308.0717154
"Arkansas County, AR",201426.0,19.0,23.0,22.0,30.0,17.7,25.1,"50,928",7.077235454
"Arlington County, VA",2505151.0,,29.0,62.0,188.0,7.9,9.5,"124,474",3442.635855
"Armstrong County, PA",735150.0,10.0,15.0,81.0,126.0,11.8,15.7,"54,089",39.20909708
"Aroostook County, ME",758932.0,11.0,17.0,79.0,132.0,14.9,18.9,"51,770",3.951100932
"Ascension Parish, LA",1304839.0,56.0,73.0,105.0,152.0,11.4,14.7,"75,498",161.3021959
"Ashland County, OH",586416.0,,10.0,31.0,63.0,10.9,14.9,"59,117",48.81671864
"Ashley County, AR",227955.0,19.0,22.0,29.0,36.0,21.3,31.2,"44,030",8.568999577
"Ashtabula County, OH",1088134.0,21.0,85.0,114.0,206.0,15.7,22.0,"48,916",53.96951051
"Assumption Parish, LA",249696.0,,12.0,20.0,28.0,19.0,27.2,"42,404",25.89877241
"Atascosa County, TX",531203.0,25.0,37.0,48.0,81.0,16.4,23.8,"57,905",15.45876401
"Athens County, OH",718519.0,,16.0,49.0,79.0,20.9,23.3,"49,023",50.54941896
"Atkinson County, GA",91453.0,,13.0,,,23.8,38.7,"40,303",9.311240898
"Atlantic County, NJ",2982552.0,146.0,197.0,115.0,382.0,15.1,22.6,"65,693",186.6445126
